,studio,movie_count,metascore_mean,domestic_gross_median,metascore_mean_bucket,domestic_gross_median_bucket,movie_count_bucket
108,G2 Films,1,53.0,14401563.0,M,L,S
109,GAGA,1,63.0,16970581.0,M,L,S
110,GKIDS,1,71.0,1002895.0,H,L,S
111,Galaxy International Releasing,1,43.0,17768757.0,M,L,S
112,"Geffen Company, The",1,90.0,10609321.0,H,L,S
113,Gkids,6,67.6666666667,493374.0,M,L,S
114,Goldwyn Films,1,69.0,1713459.0,M,L,S
115,Good Machine,2,74.5,1414034.0,H,L,S
116,GoodTimes Home Video,1,73.0,8362969.0,H,L,S
117,Goodbye Cruel Releasing,1,78.0,77070.0,H,L,S
118,Gramercy Pictures (I),13,65.0769230769,7993039.0,M,L,M
119,Gravitas Ventures,5,44.0,31664.0,M,L,S
120,HBO Documentary,1,89.0,130146.0,H,L,S
121,HBO Documentary Films,1,70.0,18164.0,M,L,S
122,HBO Films,2,80.0,3638972.5,H,L,S
123,Hannover House,1,22.0,183920.0,L,L,S
124,Herrick Entertainment,1,52.0,1361512.0,M,L,S
125,High Top Releasing,1,40.0,125106.0,L,L,S
126,Home Box Office (HBO),1,68.0,3644.0,M,L,S
127,IFC Films,118,62.8813559322,143442.0,M,L,B
128,IFC First Take,2,82.0,922844.5,H,L,S
129,IFC Midnight,5,51.8,8447.0,M,L,S
130,Icarus Films,1,85.0,156928.0,H,L,S
131,Image Entertainment,7,39.5714285714,10969.0,L,L,S
132,Imagenation Abu Dhabi FZ,1,73.0,627436.0,H,L,S
133,Independent,1,63.0,137815.0,M,L,S
134,Indican Pictures,1,44.0,30471.0,M,L,S
135,Indomina Group,1,84.0,641100.0,H,L,S
136,IndustryWorks Pictures,1,42.0,1037071.0,M,L,S
137,International Film Circuit,5,67.2,132782.0,M,L,S
138,Janus Films,2,84.0,1732054.5,H,L,S
139,Ketchup Entertainment,2,34.5,151914.0,L,L,S
140,Kino International,6,76.8333333333,116403.0,H,L,S
141,Kino Lorber,6,68.1666666667,30187.5,M,L,S
142,Koch Lorber Films,4,77.0,233153.5,H,L,S
143,LD Entertainment,4,52.0,1987762.0,M,L,S
144,Leisure Time Features,1,65.0,58132.0,M,L,S
145,Lions Gate Films,39,49.9230769231,6318709.0,M,L,B
146,Lions Gate Films Home Entertainment,6,66.1666666667,4740007.5,M,L,S
147,Lionsgate,58,48.3157894737,18494006.0,M,L,B
148,Live Film & Mediaworks Inc.,1,72.0,3221152.0,H,L,S
149,Loki Films,1,68.0,390024.0,M,L,S
150,Lorber Films,6,75.3333333333,46191.0,H,L,S
151,Lot 47 Films,2,63.5,252942.5,M,L,S
152,Luminous Velocity Releasing,1,52.0,151114.0,M,L,S
153,MCA/Universal Home Video,1,71.0,13071518.0,H,L,S
154,MCA/Universal Pictures,4,58.5,14729593.5,M,L,S
155,MGM Distribution,3,38.6666666667,46437717.0,L,L,S
156,MGM Home Entertainment,3,51.6666666667,37667746.0,M,L,S
157,MGM/UA Distribution Company,2,72.5,117659573.5,H,L,S
158,MGM/UA Entertainment Company,1,65.0,10278575.0,M,L,S
159,MGM/UA Home Entertainment,1,16.0,20350754.0,L,L,S
160,MPI,1,50.0,206088.0,M,L,S
161,MPI Media Group,1,37.0,13514.0,L,L,S
162,MTV Films,2,77.0,2666772.0,H,L,S
163,Magic Light Pictures,1,76.0,350524.0,H,L,S
164,Magnet Releasing,47,55.4888888889,22642.0,M,L,B
165,Magnolia Films,1,80.0,3030848.0,H,L,S
166,Magnolia Pictures,75,64.7042253521,205139.0,M,L,B
167,Metro Goldwyn Distributing Company,2,46.5,9542231.0,M,L,S
168,Metro-Goldwyn-Mayer (MGM),39,51.8974358974,25594957.0,M,L,B
169,Metro-Goldwyn-Mayer Distributing Corporation (MGM),9,48.1111111111,37182494.0,M,L,S
170,Midnight Movies,1,,271000.0,H,L,S
171,Mill Creek Entertainment,1,15.0,10249719.0,L,L,S
172,Millennium Entertainment,15,50.2142857143,81071.0,M,L,M
173,Millennium Films,2,42.5,114223.0,M,L,S
174,Miramax Films,84,65.0119047619,13020733.5,M,L,B
175,Miramax Home Entertainment,1,70.0,4750660.0,M,L,S
176,Monterey Media,4,47.75,18054.0,M,L,S
177,Morgan Creek International,1,45.0,11892415.0,M,L,S
178,Moving Pictures Film and Television,1,49.0,102541.0,M,L,S
179,Music Box Films,21,71.5714285714,514237.0,H,L,M
180,My Network TV,1,46.0,48022900.0,M,L,S
181,National Broadcasting Company (NBC),1,64.0,101413188.0,M,L,S
182,National General Pictures,1,63.0,31559552.0,M,L,S
183,National Geographic Channel,1,75.0,1328467.0,H,L,S
184,National Geographic Entertainment,3,69.3333333333,635325.0,M,L,S
185,National Geographic Films,2,68.5,38845005.5,M,L,S
186,NeoClassics Films,1,64.0,707945.0,M,L,S
187,New Films Cinema,1,,,H,H,S
188,New Films International,1,,138788.0,H,L,S
189,New Line Cinema,81,48.2,39464775.0,M,L,B
190,New Line Home Video,1,,17303424.0,H,L,S
191,New World Pictures,1,73.0,1108462.0,H,L,S
192,New Yorker Films,8,78.375,111189.0,H,L,S
193,Newmarket Films,12,66.6666666667,2139045.0,M,L,M
194,October Films,3,57.6666666667,1960216.0,M,L,S
195,Olive Films,1,68.0,10462.0,M,L,S
196,One Earth Productions,1,56.0,45000.0,M,L,S
197,Open Road Films,9,48.3333333333,20158898.0,M,L,S
198,Open Road Films (II),5,49.8,13749300.0,M,L,S
199,Orion Pictures Corporation,15,64.8,38371200.0,M,L,M
200,Oscilloscope Laboratories,4,67.25,115010.0,M,L,S
201,Oscilloscope Pictures,12,69.9166666667,203645.0,M,L,M
202,Overture Films,14,50.8571428571,19805619.5,M,L,M
203,Page 124 Productions,1,69.0,809590.0,M,L,S
204,Paladin (II),3,49.0,36280.0,M,L,S
205,Palisades Pictures,3,57.6666666667,209659.0,M,L,S
206,Palisades Tartan,2,84.5,68608.0,H,L,S
207,Palm Pictures,3,69.0,121390.0,M,L,S
208,Pantelion Films,6,51.75,4769662.5,M,L,S
209,Paramount Classics,13,55.8461538462,603951.0,M,L,M
210,Paramount Famous Productions,1,43.0,106524.0,M,L,S
211,Paramount Home Entertainment,2,51.0,14332622.0,M,L,S
212,Paramount Home Video,3,32.6666666667,19751736.0,L,L,S
213,Paramount Pictures,175,57.3563218391,70136369.0,M,L,B
214,Paramount Vantage,15,67.7857142857,6417135.0,M,L,M
215,Participant Media,1,65.0,454121.0,M,L,S
216,Pathfinder Pictures,1,58.0,58202.0,M,L,S
217,Peace Arch Entertainment Group,1,64.0,470691.0,M,L,S
218,Peninsula Films,1,63.0,144008.0,M,L,S
219,Phase 4 Films,1,46.0,8464.0,M,L,S
220,Picturehouse,1,98.0,37634615.0,H,L,S
221,Picturehouse Entertainment,7,66.0,1415082.0,M,L,S
222,Pierre Grise Distribution,1,92.0,25461.0,H,L,S
223,Polychrome Pictures,1,66.0,837878.0,M,L,S
224,Polygram Filmed Entertainment,3,45.3333333333,48323648.0,M,L,S
225,Producers Distribution Agency (PDA),3,74.0,1612430.0,H,L,S
226,Provident Films,2,25.0,6645363.5,L,L,S
227,Quark Films,1,55.0,,M,H,S
228,R.S. Entertainment,1,47.0,5791328.0,M,L,S
229,RADiUS-TWC,15,61.5333333333,646317.5,M,L,M
230,RAM Releasing,1,66.0,2340.0,M,L,S
231,Red Flag Releasing (RFR),2,94.0,,H,H,S
232,Red Square Productions,1,90.0,242707.0,H,L,S
233,Regent Releasing,3,47.0,142666.0,M,L,S
234,Relativity Media,18,41.0,24652466.0,M,L,M
235,Reliance Big Pictures,2,49.0,2658518.5,M,L,S
236,Reliance Entertainment,4,,646035.0,H,L,S
237,Revolution Studios,3,37.3333333333,58645052.0,L,L,S
238,Roadside Attractions,27,63.4814814815,2037459.0,M,L,B
239,Rocky Mountain Pictures,3,19.5,3329674.0,L,L,S
240,Rogue Pictures,10,52.3,18562313.5,M,L,S
241,Romar Entertainment,1,18.0,2405420.0,L,L,S
242,SModcast Pictures,1,50.0,1104682.0,M,L,S
243,Sag Harbor-Basement Pictures,1,49.0,20389.0,M,L,S
244,"Samuel Goldwyn Company, The",10,63.1111111111,5017971.0,M,L,S
245,Samuel Goldwyn Films,21,55.8,1043456.5,M,L,M
246,Savoy Pictures,1,80.0,17287898.0,H,L,S
247,Scholastic Productions,1,49.0,2922354.0,M,L,S
248,Screen Gems,26,40.3846153846,35477658.5,M,L,B
249,Screen Media Films,5,56.8,43073.0,M,L,S
250,SenArt Films,2,61.5,371291.5,M,L,S
251,Seventh Art Releasing,1,88.0,853.0,H,L,S
252,Shadow Distribution,1,63.0,98548.0,M,L,S
253,Shout! Factory,1,52.0,,M,H,S
254,Showtime Networks,1,62.0,62852.0,M,L,S
255,Silver Nitrate,1,65.0,43805.0,M,L,S
256,Sony Pictures Classics,119,73.3865546218,2283849.0,H,L,B
257,Sony Pictures Entertainment (SPE),21,52.0,38432823.0,M,L,M
258,Sony Pictures Entertainment (SPE) Worldwide Acquisitions Group,1,28.0,257412.0,L,L,S
259,Sony Pictures Home Entertainment,2,89.0,30642690.0,H,L,S
260,Sony Pictures Releasing,9,46.1111111111,32238923.0,M,L,S
261,Stage 6 Films,1,69.0,68372.0,M,L,S
262,Starz Digital Media,2,62.0,3861.0,M,L,S
263,Strand Releasing,26,67.7692307692,25660.5,M,L,B
264,Studio Canal,1,45.0,209695.0,M,L,S
265,Submarine Entertainment,1,86.0,6945.0,H,L,S
266,Summit Distribution,4,47.25,13753415.5,M,L,S
267,Summit Entertainment,30,50.6333333333,22331621.0,M,L,B
268,Sundance Film Series,1,75.0,84299.0,H,L,S
269,Sundance Selects,21,74.9523809524,373605.0,H,L,M
270,Sycamore Entertainment,1,55.0,83566.0,M,L,S
271,TLA Releasing,4,51.75,349027.0,M,L,S
272,TWC-Dimension,1,77.0,75357139.0,H,L,S
273,Tartan,6,67.0,104328.0,M,L,S
274,Tartan Films,1,65.0,72541.0,M,L,S
275,Telepathic Studios,1,58.0,70066.0,M,L,S
276,Televisa Cine,1,30.0,4179890.0,L,L,S
277,The Film Arcade,1,69.0,135228.0,M,L,S
278,The Film Company,1,79.0,263200.0,H,L,S
279,The Weinstein Company,1,65.0,14600347.0,M,L,S
280,Third Rail Releasing,3,42.5,166003.0,M,L,S
281,Tidepoint Pictures,1,59.0,94591.0,M,L,S
282,Touchstone Home Video,1,84.0,29089912.0,H,L,S
283,Touchstone Pictures,5,49.4,7919117.0,M,L,S
284,TriStar Pictures,42,47.4523809524,39983964.5,M,L,B
285,Tribeca Film,17,59.2941176471,34768.0,M,L,M
286,Trimark Pictures,3,59.6666666667,242623.0,M,L,S
287,Triumph Films,1,66.0,468867.0,M,L,S
288,Triumph Releasing Corporation,1,86.0,11487676.0,H,L,S
